epochs,loss,valid_loss
1,-3.458315433777247,-5.940104596459891
2,-8.798769248034947,-8.948821611603156
3,-9.556343802727609,-9.557335642172827
4,-9.881228252418492,-9.883221992196422
5,-10.044766404157878,-10.05929622652388
6,-10.11526707177634,-10.116724236324341
7,-10.099483618308529,-10.100380232002717
8,-10.120137011309847,-10.121764882456247
9,-10.042986996873031,-10.014473055524984
10,-10.122823603028134,-10.124308833053453
11,-10.06314797045973,-10.04388303322628
12,-10.115858324037903,-10.12565791074431
13,-10.076534495670144,-10.071516856197116
14,-10.11260384382545,-10.120078115503903
15,-10.110062830146212,-10.103351902726747
16,-10.086437175757217,-10.087290494831084
17,-10.103822556381784,-10.106060360412448
18,-10.116285950601881,-10.114351413780009
19,-10.089416134606825,-10.088202475125886
20,-10.118704398489626,-10.122606140940178
21,-10.111634342113458,-10.108089711945176
22,-10.115436158344243,-10.118741139867785
23,-10.106947024318956,-10.108806267202095
24,-10.123483520033043,-10.125273879200673
25,-10.105735477790454,-10.106434365302006
26,-10.125489278449027,-10.118776693781637
27,-10.101803795574927,-10.100924857651233
28,-10.126513520253184,-10.123168182256803
29,-10.117431610058414,-10.122609480657587
30,-10.116835891968318,-10.11285967688099
31,-10.10746904140205,-10.109093849558429
