epochs,loss,valid_loss
1,9.741502476124271,8.065906943907706
2,5.544340693981913,4.371883921782252
3,2.049151222125296,1.8713006594241013
4,1.1710244043921636,0.97612333857069
5,-0.18678574117124935,-0.528272647765482
6,-0.9796785359513731,-1.1164021303940348
7,-1.8210333252614803,-1.6536808642621055
8,-2.0035371121902754,-1.6946629634233275
9,-2.116585438920803,-2.822846417484515
10,-2.586282483449254,-2.85331150029655
11,-2.7636887608329284,-3.0479174558494813
12,-3.07993519294067,-3.3649931996755953
13,-3.3884702701890266,-2.7578534138591055
14,-3.3029882986779953,-3.365276241999438
15,-3.6195525529341257,-3.1973935684970933
16,-3.87178059991498,-4.353306681910172
17,-3.805548089105696,-3.831969939265671
18,-4.089987743109771,-3.849292675714629
19,-3.8583380007013894,-3.5649921368184527
20,-3.7643631251167045,-4.269652997260266
21,-4.101229008858726,-3.8276466344982993
22,-3.80143860494857,-3.5111574767876768
23,-4.484875534248341,-3.9689682060254317
24,-4.269171879213699,-3.972224947384335
25,-4.405041961810093,-4.243369777590111
26,-4.114878052751955,-3.7635951236300116
27,-4.196723965210127,-3.9119881863349466
28,-4.425766290870608,-4.952898160917932
29,-4.743084790679571,-3.9870807371986974
30,-4.6860043052207025,-4.356951715173215
31,-4.919890824277354,-5.196702580423672
32,-4.903919094851602,-4.9836159439040175
33,-5.026076021130105,-4.613637776059715
34,-5.149356924943875,-4.7551438188258315
35,-4.852060273890839,-4.6427632165641235
36,-4.966668860000841,-4.658784334291947
37,-5.13788768003149,-4.757969227560616
38,-5.014574620820919,-5.177937485029289
39,-5.192095121196101,-5.223814490707142
40,-4.761646406251263,-5.090500215284596
41,-4.9231081530187115,-5.723796038416901
42,-5.093363989433972,-5.534080065217715
43,-5.2758082067439815,-5.770261419170257
44,-5.59940642702944,-4.998060697824716
45,-5.309304757804681,-5.118879165232553
46,-5.917054777160081,-5.913114966679846
47,-5.457941824315224,-5.0012275278677985
48,-5.027792325898499,-5.024886308352842
49,-5.126393288795245,-4.496785321162089
50,-4.9338574467185845,-4.621372133936307
51,-5.173115652590252,-5.00351187080505
52,-5.251197662018237,-5.578797454798841
53,-5.199180119317765,-6.275609336814762
54,-5.308733683845774,-5.020844269623708
55,-5.494130761125363,-5.083906749915514
56,-5.641640187978608,-5.990028022604028
57,-5.669408812408834,-5.372411717373407
58,-5.9824698172701885,-5.3035319159787875
59,-5.7793077911678905,-5.752483298323521
60,-6.143149825657419,-5.761605034833247
61,-5.858702952505815,-6.321067373654813
62,-6.326035885472936,-6.782628549420497
63,-6.2672599026125715,-6.197442929482501
64,-6.480362444624588,-6.047964226702611
65,-6.420962256025554,-6.465716724027262
66,-6.498043476437404,-6.13398132503288
67,-7.127064705064059,-7.018073380590866
68,-6.971914273410718,-6.947505484528179
69,-7.046623039393269,-6.617426474280716
70,-6.755049491808519,-6.327065037206826
