epochs,loss,valid_loss
1,10.848055057468565,9.223699779429245
2,9.453699645080007,7.340230707389541
3,6.339037775388282,7.1901234655251285
4,5.3341268789176866,4.320384625470022
5,3.987271472603741,3.2835122221322632
6,2.0015597165470393,1.687410109978537
7,0.9482349817216695,0.3923057152991524
8,2.7088960344312518e-05,-0.006507231996751554
9,-0.301317117112789,-0.4931469102192956
10,-0.5856124331488197,-0.6851265678790269
11,-0.916247413587381,-0.6733669175598779
12,-1.1088993237145457,-1.6967589464070665
13,-1.0500622012107577,-1.150519063696206
14,-1.2525202731239038,-1.3729209533576414
15,-1.798006980459629,-2.096870699839503
16,-2.0640266503171314,-2.2462049647455884
17,-2.7000598540712972,-2.502943423224156
18,-2.957568339622872,-2.632219215540811
19,-2.6450078681361693,-2.601917350149227
20,-2.471360688628296,-2.798908374046953
21,-2.4557268569736155,-2.658893271777182
22,-2.78346067663476,-2.5377059935499506
23,-2.9928107927852956,-2.8246562168310465
24,-2.9890905821676856,-2.3511426066185632
25,-2.403981153588585,-1.891765564798595
26,-2.449112737528506,-3.029252528772288
27,-2.5968430745458186,-2.483498069879338
28,-3.0042666753977354,-2.974707266369741
29,-3.7012578288489855,-3.5790690845053774
30,-3.7483682018626916,-3.807638044284819
31,-3.802006399271677,-3.757317945309763
32,-3.66930916574556,-3.9727692645418773
33,-3.6914801952708416,-3.503475932494856
34,-3.317181706808785,-3.2402924703109566
35,-3.073733580960974,-3.2261659351647594
